bgg_id,name,year,avg_rating,avg_weights,user_rating
224517,Brass: Birmingham,2018,8.61,3.89,41297
161936,Pandemic Legacy: Season 1,2015,8.53,2.83,51690
174430,Gloomhaven,2017,8.61,3.9,59938
342942,Ark Nova,2021,8.53,3.73,35773
233078,Twilight Imperium: Fourth Edition,2017,8.61,4.31,21870
167791,Terraforming Mars,2016,8.37,3.26,93217
291457,Gloomhaven: Jaws of the Lion,2020,8.48,3.63,31077
316554,Dune: Imperium,2020,8.42,3.03,38613
115746,War of the Ring: Second Edition,2011,8.54,4.21,19908
187645,Star Wars: Rebellion,2016,8.42,3.74,30839
162886,Spirit Island,2017,8.35,4.06,46889
220308,Gaia Project,2017,8.4,4.4,25571
182028,Through the Ages: A New Story of Civilization,2015,8.31,4.43,30390
12333,Twilight Struggle,2005,8.25,3.6,47469
193738,Great Western Trail,2016,8.22,3.71,39382
169786,Scythe,2016,8.16,3.44,79180
84876,The Castles of Burgundy,2011,8.13,2.99,59393
173346,7 Wonders Duel,2015,8.1,2.23,88458
167355,Nemesis,2018,8.28,3.45,27927
28720,Brass: Lancashire,2007,8.19,3.86,24032
246900,Eclipse: Second Dawn for the Galaxy,2020,8.49,3.66,11830
124361,Concordia,2013,8.1,3.0,38584
177736,A Feast for Odin,2016,8.18,3.86,26608
266507,Clank! Legacy: Acquisitions Incorporated,2019,8.56,2.71,8588
266192,Wingspan,2019,8.07,2.46,84465
120677,Terra Mystica,2012,8.08,3.97,46675
205637,Arkham Horror: The Card Game,2016,8.14,3.53,41064
312484,Lost Ruins of Arnak,2020,8.08,2.9,38572
237182,Root,2018,8.08,3.78,46561
164928,Orléans,2014,8.06,3.03,29898
199792,Everdell,2018,8.04,2.81,48820
341169,Great Western Trail: Second Edition,2021,8.39,3.73,10105
96848,Mage Knight Board Game,2011,8.09,4.35,32485
183394,Viticulture Essential Edition,2015,8.0,2.89,45892
251247,Barrage,2019,8.18,4.1,15984
324856,The Crew: Mission Deep Sea,2021,8.2,2.04,14213
192135,Too Many Bones,2017,8.35,3.85,11647
175914,Food Chain Magnate,2015,8.08,4.21,19279
256960,Pax Pamir: Second Edition,2019,8.23,3.84,12298
285774,Marvel Champions: The Card Game,2019,8.13,2.92,21801
3076,Puerto Rico,2002,7.93,3.27,69779
247763,Underwater Cities,2018,8.08,3.61,18054
102794,Caverna: The Cave Farmers,2013,7.96,3.78,33736
170216,Blood Rage,2015,7.94,2.87,45093
